table,column
photoobj,deVRadErr_i
photoobj,deVRadErr_z
photoobj,deVAB_u
photoobj,deVAB_g
photoobj,deVAB_r
photoobj,deVAB_i
photoobj,deVAB_z
photoobj,deVABErr_u
photoobj,deVABErr_g
photoobj,deVABErr_r
photoobj,deVABErr_i
photoobj,deVABErr_z
photoobj,deVPhi_u
photoobj,deVPhi_g
photoobj,deVPhi_r
photoobj,deVPhi_i
photoobj,deVPhi_z
photoobj,deVMag_u
photoobj,deVMag_g
photoobj,deVMag_r
photoobj,deVMag_i
photoobj,deVMag_z
photoobj,deVMagErr_u
photoobj,deVMagErr_g
photoobj,deVMagErr_r
photoobj,deVMagErr_i
photoobj,deVMagErr_z
photoobj,deVFlux_u
photoobj,deVFlux_g
photoobj,deVFlux_r
photoobj,deVFlux_i
photoobj,deVFlux_z
photoobj,deVFluxIvar_u
photoobj,deVFluxIvar_g
photoobj,deVFluxIvar_r
photoobj,deVFluxIvar_i
photoobj,deVFluxIvar_z
photoobj,expRad_u
photoobj,expRad_g
photoobj,expRad_r
photoobj,expRad_i
photoobj,expRad_z
photoobj,expRadErr_u
photoobj,expRadErr_g
photoobj,expRadErr_r
photoobj,expRadErr_i
photoobj,expRadErr_z
photoobj,expAB_u
photoobj,expAB_g
photoobj,expAB_r
photoobj,expAB_i
photoobj,expAB_z
photoobj,expABErr_u
photoobj,expABErr_g
photoobj,expABErr_r
photoobj,expABErr_i
photoobj,expABErr_z
photoobj,expPhi_u
photoobj,expPhi_g
photoobj,expPhi_r
photoobj,expPhi_i
photoobj,expPhi_z
photoobj,expMag_u
photoobj,expMag_g
photoobj,expMag_r
photoobj,expMag_i
photoobj,expMag_z
photoobj,expMagErr_u
photoobj,expMagErr_g
photoobj,expMagErr_r
photoobj,expMagErr_i
photoobj,expMagErr_z
photoobj,modelMag_u
photoobj,modelMag_g
photoobj,modelMag_r
photoobj,modelMag_i
photoobj,modelMag_z
photoobj,modelMagErr_u
photoobj,modelMagErr_g
photoobj,modelMagErr_r
photoobj,modelMagErr_i
photoobj,modelMagErr_z
photoobj,cModelMag_u
photoobj,cModelMag_g
photoobj,cModelMag_r
photoobj,cModelMag_i
photoobj,cModelMag_z
photoobj,cModelMagErr_u
photoobj,cModelMagErr_g
photoobj,cModelMagErr_r
photoobj,cModelMagErr_i
photoobj,cModelMagErr_z
photoobj,expFlux_u
photoobj,expFlux_g
photoobj,expFlux_r
photoobj,expFlux_i
photoobj,expFlux_z
photoobj,expFluxIvar_u
photoobj,expFluxIvar_g
photoobj,expFluxIvar_r
photoobj,expFluxIvar_i
photoobj,expFluxIvar_z
photoobj,modelFlux_u
photoobj,modelFlux_g
photoobj,modelFlux_r
photoobj,modelFlux_i
photoobj,modelFlux_z
photoobj,modelFluxIvar_u
photoobj,modelFluxIvar_g
photoobj,modelFluxIvar_r
photoobj,modelFluxIvar_i
